playerID,homeAway,Name,Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,InitPlayerName,InitPlayerID,Away?
1642,Home,Danny Green,SG,Danny Green,3600,GS@SA 09:30PM ET,18.238,SA,C.J. Miles,125,@SA
24306,Home,Andrew Harrison,PG,Andrew Harrison,3500,Ind@Mem 08:00PM ET,14.104,Mem,Michael Beasley,757,@Mem
1620,Away,Wayne Ellington,SF,Wayne Ellington,3500,Mia@NY 07:30PM ET,17.585,Mia,Tyreke Evans,1601,@Mia
19543,Home,Kyle O'Quinn,C,Kyle O'Quinn,3500,Mia@NY 07:30PM ET,18.356,NY,Yogi Ferrell,24263,@NY
1609,Away,Brandon Jennings,PG,Brandon Jennings,3500,Was@LAC 10:30PM ET,19.802,Was,Marco Belinelli,48,@Was
73136,Home,Dejounte Murray,PG,Dejounte Murray,3500,GS@SA 09:30PM ET,7,SA,Draymond Green,2369,@SA
311,Away,Zaza Pachulia,C,Zaza Pachulia,3500,GS@SA 09:30PM ET,18.967,GS,Jusuf Nurkic,32965,@GS
8530,Away,Matt Dellavedova,PG/SG,Matthew Dellavedova,3400,Mil@Bos 07:30PM ET,18.283,Mil,J.R. Smith,386,@Mil
778,Home,Kosta Koufos,C,Kosta Koufos,3400,Uta@Sac 10:30PM ET,16.729,Sac,Wayne Ellington,1620,@Sac
4210,Away,Rodney McGruder,SG/SF,Rodney McGruder,3400,Mia@NY 07:30PM ET,14.511,Mia,Buddy Hield,42415,@Mia
46508,Home,Timothe Luwawu-Cabarrot,SG/SF,Timothe Luwawu-Cabarrot,3400,Atl@Phi 07:00PM ET,9.113,Phi,Brandon Ingram,72279,@Phi
2354,Home,E'Twaun Moore,SG/SF,E'Twaun Moore,3400,Dal@NO 08:00PM ET,17.97,NO,Malcolm Brogdon,24209,@NO
276,Away,Devin Harris,SG,Devin Harris,3400,Dal@NO 08:00PM ET,13.612,Dal,Gerald Henderson,1606,@Dal
62,Home,Raymond Felton,PG/SF,Raymond Felton,3400,Was@LAC 10:30PM ET,16.123,LAC,Patrick Beverley,1684,@LAC
22394,Away,Jeremy Lamb,SG,Jeremy Lamb,3400,Cha@Tor 07:30PM ET,18.009,Cha,Marquese Chriss,72600,@Cha
24265,Home,Kyle Anderson,SG,Kyle Anderson,3400,GS@SA 09:30PM ET,10.012,SA,Marcus Smart,24275,@SA
28991,Home,Dewayne Dedmon,C,Dewayne Dedmon,3400,GS@SA 09:30PM ET,16.463,SA,Jeremy Lamb,22394,@SA
24763,Home,Mario Hezonja,SF,Mario Hezonja,3300,OKC@Orl 07:00PM ET,9.627,Orl,Michael Kidd-Gilchrist,9290,@Orl
32198,Home,Georgios Papagiannis,C,Georgios Papagiannis,3300,Uta@Sac 10:30PM ET,10.661,Sac,Jamal Murray,49976,@Sac
1650,Home,Dante Cunningham,SF/PF,Dante Cunningham,3300,Dal@NO 08:00PM ET,14.763,NO,Robin Lopez,769,@NO
52352,Away,"Kelly Oubre, Jr.",SG/SF,Kelly Oubre Jr.,3300,Was@LAC 10:30PM ET,12.354,Was,Gorgui Dieng,22403,@Was
2152,Home,Patrick Patterson,PF,Patrick Patterson,3300,Cha@Tor 07:30PM ET,17.342,Tor,Ish Smith,3665,@Tor
30740,Home,Jonathon Simmons,SG/SF,Jonathon Simmons,3300,GS@SA 09:30PM ET,12.736,SA,Al-Farouq Aminu,2180,@SA
