playerID,homeAway,First Name Last Name,Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,InitPlayerName,InitPlayerID,Away?
24346,Away,Evan Fournier,nba.p.5054,Evan,Fournier,SG,ORL,OKC,OKC@ORL,7:00PM EDT,20,26.2,,Wesley Matthews,1653,@OKC
24308,Away,Aaron Gordon,nba.p.5295,Aaron,Gordon,PF,ORL,OKC,OKC@ORL,7:00PM EDT,22,22.1,,Tyler Johnson,23365,@OKC
31736,Away,Elfrid Payton,nba.p.5321,Elfrid,Payton,PG,ORL,OKC,OKC@ORL,7:00PM EDT,29,28.5,,Otto Porter,24181,@OKC
6964,Away,C.J. Wilcox,nba.p.5339,C.J.,Wilcox,SG,ORL,OKC,OKC@ORL,7:00PM EDT,10,2.5,,Sean Kilpatrick,4347,@OKC
2912,Away,Damjan Rudez,nba.p.5372,Damjan,Rudez,PF,ORL,OKC,OKC@ORL,7:00PM EDT,10,3.9,,Bojan Bogdanovic,9740,@OKC
24763,Away,Mario Hezonja,nba.p.5465,Mario,Hezonja,SF,ORL,OKC,OKC@ORL,7:00PM EDT,10,9.1,,Markieff Morris,4191,@OKC
,Away,Stephen Zimmerman Jr.,nba.p.5672,Stephen,Zimmerman Jr.,C,ORL,OKC,OKC@ORL,7:00PM EDT,10,4.1,,Dirk Nowitzki,308,@OKC
160,Home,Joe Johnson,nba.p.3520,Joe,Johnson,SF,UTA,SAC,UTA@SAC,10:30PM EDT,10,16.2,,Clint Capela,28284,@SAC
459,Home,Boris Diaw,nba.p.3724,Boris,Diaw,PF,UTA,SAC,UTA@SAC,10:30PM EDT,10,9.7,,DeAndre Jordan,802,@SAC
780,Home,George Hill,nba.p.4488,George,Hill,PG,UTA,SAC,UTA@SAC,10:30PM EDT,21,28.8,,Dwight Howard,376,@SAC
2191,Home,Derrick Favors,nba.p.4718,Derrick,Favors,PF,UTA,SAC,UTA@SAC,10:30PM EDT,18,20.9,INJ,Rodney Hood,24165,@SAC
